mouse;region;age;count;scaled count
n11_20241103_p1_7;Anterior cingulate area;p1-7;585;0.011548483891345546
n11_20241103_p1_7;Auditory areas;p1-7;412;0.008133291219204043
n11_20241103_p1_7;Orbital area;p1-7;2774;0.05476152874289324
n11_20241103_p1_7;Retrosplenial area;p1-7;7143;0.14100994946304485
n11_20241103_p1_7;Somatosensory areas;p1-7;843;0.016641661402400504
n11_20241103_p1_7;Thalamus;p1-7;1179;0.02327463676563487
n1_20241209_p7_13;Anterior cingulate area;p7-13;121;0.033196159122085046
n1_20241209_p7_13;Auditory areas;p7-13;14;0.003840877914951989
n1_20241209_p7_13;Orbital area;p7-13;121;0.033196159122085046
n1_20241209_p7_13;Retrosplenial area;p7-13;1453;0.39862825788751716
n1_20241209_p7_13;Somatosensory areas;p7-13;9;0.0024691358024691358
n1_20241209_p7_13;Thalamus;p7-13;29;0.007956104252400549
n2_20241203_p7_13;Anterior cingulate area;p7-13;265;0.03848388033691548
n2_20241203_p7_13;Auditory areas;p7-13;54;0.007841998257333721
n2_20241203_p7_13;Orbital area;p7-13;427;0.062009875108916646
n2_20241203_p7_13;Retrosplenial area;p7-13;2132;0.30961370897473134
n2_20241203_p7_13;Somatosensory areas;p7-13;39;0.005663665408074354
n2_20241203_p7_13;Thalamus;p7-13;103;0.014957885564914319
n2_20241209_p7_13;Anterior cingulate area;p7-13;11;0.013095238095238097
n2_20241209_p7_13;Auditory areas;p7-13;3;0.0035714285714285718
n2_20241209_p7_13;Orbital area;p7-13;6;0.0071428571428571435
n2_20241209_p7_13;Retrosplenial area;p7-13;364;0.43333333333333335
n2_20241209_p7_13;Somatosensory areas;p7-13;67;0.07976190476190477
n2_20241209_p7_13;Thalamus;p7-13;27;0.03214285714285715
n3_20241010_p1_7;Anterior cingulate area;p1-7;5;0.0014013452914798206
n3_20241010_p1_7;Auditory areas;p1-7;11;0.003082959641255605
n3_20241010_p1_7;Orbital area;p1-7;13;0.0036434977578475337
n3_20241010_p1_7;Retrosplenial area;p1-7;1926;0.5397982062780269
n3_20241010_p1_7;Somatosensory areas;p1-7;20;0.005605381165919282
n3_20241010_p1_7;Thalamus;p1-7;101;0.028307174887892375
n4_20241203_p7_13;Anterior cingulate area;p7-13;79;0.026430244228839075
n4_20241203_p7_13;Auditory areas;p7-13;5;0.0016728002676480427
n4_20241203_p7_13;Orbital area;p7-13;70;0.023419203747072598
n4_20241203_p7_13;Retrosplenial area;p7-13;1185;0.39645366343258615
n4_20241203_p7_13;Somatosensory areas;p7-13;6;0.0020073603211776514
n4_20241203_p7_13;Thalamus;p7-13;17;0.005687520910003346
n4_20241209_p7_13;Anterior cingulate area;p7-13;128;0.01919616076784643
n4_20241209_p7_13;Auditory areas;p7-13;31;0.004649070185962807
n4_20241209_p7_13;Orbital area;p7-13;266;0.03989202159568086
n4_20241209_p7_13;Retrosplenial area;p7-13;2987;0.4479604079184163
n4_20241209_p7_13;Somatosensory areas;p7-13;13;0.0019496100779844028
n4_20241209_p7_13;Thalamus;p7-13;75;0.011247750449910016
n5_20241103_p1_7;Anterior cingulate area;p1-7;176;0.0031954682450343152
n5_20241103_p1_7;Auditory areas;p1-7;1005;0.0182468499219289
n5_20241103_p1_7;Orbital area;p1-7;163;0.002959439340571553
n5_20241103_p1_7;Retrosplenial area;p1-7;10156;0.18439304259413922
n5_20241103_p1_7;Somatosensory areas;p1-7;280;0.00508369948073641
n5_20241103_p1_7;Thalamus;p1-7;1080;0.019608555139983296
n5_20241203_p7_13;Anterior cingulate area;p7-13;363;0.03240203516915112
n5_20241203_p7_13;Auditory areas;p7-13;89;0.007944300633758814
n5_20241203_p7_13;Orbital area;p7-13;742;0.06623225921628136
n5_20241203_p7_13;Retrosplenial area;p7-13;3617;0.32285994822815317
n5_20241203_p7_13;Somatosensory areas;p7-13;156;0.01392484156029635
n5_20241203_p7_13;Thalamus;p7-13;211;0.01883424082834955
