mouse;Subdivided;age;count;scaled count
n11_20241103_p1_7;area 29;p1-7;2198;0.043390713834491466
n11_20241103_p1_7;area 30;p1-7;4945;0.09761923562855337
n1_20241209_p7_13;area 29;p7-13;504;0.13827160493827162
n1_20241209_p7_13;area 30;p7-13;949;0.26035665294924554
n2_20241203_p7_13;area 29;p7-13;696;0.10107464420563463
n2_20241203_p7_13;area 30;p7-13;1436;0.20853906476909673
n2_20241209_p7_13;area 29;p7-13;130;0.15476190476190477
n2_20241209_p7_13;area 30;p7-13;234;0.2785714285714286
n3_20241010_p1_7;area 29;p1-7;449;0.12584080717488788
n3_20241010_p1_7;area 30;p1-7;1477;0.413957399103139
n4_20241203_p7_13;area 29;p7-13;211;0.0705921712947474
n4_20241203_p7_13;area 30;p7-13;974;0.3258614921378387
n4_20241209_p7_13;area 29;p7-13;1108;0.16616676664667065
n4_20241209_p7_13;area 30;p7-13;1879;0.2817936412717456
n5_20241103_p1_7;area 29;p1-7;3232;0.05868041686335742
n5_20241103_p1_7;area 30;p1-7;6924;0.1257126257307818
n5_20241203_p7_13;area 29;p7-13;1312;0.11711148799428725
n5_20241203_p7_13;area 30;p7-13;2305;0.20574846023386592
